(1, 13) (13, 1)
(13, 1)
(12, 1)
(11, 1)
(10, 1)
(9, 1)
(8, 1)
(7, 1)
(6, 1)
(5, 1)
(4, 1)
(3, 1)
(2, 1)
(1, 1)
(1, 2)
(1, 3)
(1, 4)
(1, 5)
(1, 6)
(1, 7)
(1, 8)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(3, 2)
(3, 3)
(2, 3)
(1, 3)
(1, 4)
(1, 5)
(1, 6)
(1, 7)
(1, 8)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(3, 1)
(2, 1)
(1, 1)
(1, 2)
(1, 3)
(1, 4)
(1, 5)
(1, 6)
(1, 7)
(1, 8)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(3, 2)
(3, 3)
(2, 3)
(1, 3)
(1, 4)
(1, 5)
(1, 6)
(1, 7)
(1, 8)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(11, 2)
(11, 3)
(11, 4)
(11, 5)
(10, 5)
(9, 5)
(9, 6)
(9, 7)
(8, 7)
(7, 7)
(6, 7)
(5, 7)
(4, 7)
(3, 7)
(2, 7)
(1, 7)
(1, 8)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(3, 8)
(3, 9)
(2, 9)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(3, 10)
(3, 11)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 11)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 9)
(2, 9)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(3, 10)
(3, 11)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 11)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 7)
(2, 7)
(1, 7)
(1, 8)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(3, 8)
(3, 9)
(2, 9)
(1, 9)
(1, 10)
(1, 11)
(1, 12)
(1, 13)
(3, 10)
(3, 11)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 11)
(1, 11)
(1, 12)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(2, 12)
(1, 12)
(1, 13)
(2, 13)
(1, 13)
(3, 13)
(2, 13)
(1, 13)
(3, 12)
(2, 12)
